------------------------------------------------------------------------------------
Date: 7/3/2024 -- 20:38:57 (uptime: 0d, 00h 00m 00s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 360
decoder.bytes                                 | Total                     | 32081
decoder.ipv4                                  | Total                     | 344
decoder.ipv6                                  | Total                     | 2
decoder.ethernet                              | Total                     | 360
decoder.arp                                   | Total                     | 14
decoder.tcp                                   | Total                     | 309
tcp.syn                                       | Total                     | 4
tcp.synack                                    | Total                     | 4
decoder.udp                                   | Total                     | 36
decoder.icmpv6                                | Total                     | 1
decoder.avg_pkt_size                          | Total                     | 89
decoder.max_pkt_size                          | Total                     | 590
flow.total                                    | Total                     | 15
flow.tcp                                      | Total                     | 4
flow.udp                                      | Total                     | 10
flow.icmpv6                                   | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 2
flow.wrk.flows_evicted_needs_work             | Total                     | 4
flow.wrk.flows_evicted_pkt_inject             | Total                     | 5
flow.wrk.flows_injected                       | Total                     | 4
tcp.sessions                                  | Total                     | 4
tcp.ssn_from_pool                             | Total                     | 4
tcp.segment_from_cache                        | Total                     | 69
tcp.segment_from_pool                         | Total                     | 79
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 6
app_layer.flow.telnet                         | Total                     | 4
app_layer.flow.failed_udp                     | Total                     | 9
flow.end.state.new                            | Total                     | 10
flow.end.state.established                    | Total                     | 2
flow.end.state.closed                         | Total                     | 3
flow.end.tcp_state.established                | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9800
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 11
flow.recycler.queue_max                       | Total                     | 11
tcp.memuse                                    | Total                     | 1212416
tcp.reassembly_memuse                         | Total                     | 229376
flow.memuse                                   | Total                     | 7154304
